kepid,injected,bin,period_days,epoch_t0,depth_ppm,duration_hours,rp_rs,n_transits
7213876,1,shallow,61.77708,152.16334,245.9,7.191,0.01568,23
8564420,1,shallow,6.6937,136.07866,236.1,3.428,0.01536,203
6381240,1,shallow,9.68695,135.25433,110.4,3.878,0.01051,145
9222857,1,shallow,6.09274,133.98392,158.1,3.322,0.01257,223
8609667,1,shallow,13.99024,137.19404,163.6,4.383,0.01279,97
8837813,1,shallow,10.09531,134.63131,204.3,3.931,0.01429,130
11713414,1,shallow,12.5251,121.00559,128.8,4.224,0.01135,109
10848334,1,shallow,32.64337,131.21343,240.3,5.814,0.0155,33
9088531,1,shallow,5.42133,121.11355,224.1,3.196,0.01497,254
9933041,1,shallow,5.59727,131.52752,101.7,3.23,0.01009,237
8742834,1,shallow,70.55872,156.49794,174.6,7.517,0.01322,20
2718136,1,shallow,81.20433,211.73656,234.0,7.877,0.0153,17
10097171,1,shallow,34.35217,133.43853,202.2,5.913,0.01422,32
5084184,1,shallow,16.69223,133.78246,111.6,4.649,0.01056,79
4545738,1,shallow,6.46126,135.01775,179.3,3.388,0.01339,208
11290469,1,shallow,20.60591,171.39366,139.5,4.987,0.01181,52
7524239,1,mid,142.22344,215.14191,577.0,9.495,0.02402,8
8146482,1,mid,103.9175,145.22022,387.3,8.552,0.01968,14
7373610,1,mid,22.38845,147.19404,511.0,5.127,0.0226,61
12066128,1,mid,19.60373,137.00031,523.6,4.905,0.02288,68
6841696,1,mid,18.28932,145.39363,394.4,4.793,0.01986,59
10532112,1,mid,43.84535,130.92717,627.1,6.414,0.02504,32
4274340,1,mid,137.58804,195.59888,443.3,9.391,0.02105,9
3003576,1,mid,7.34004,123.36106,254.6,3.535,0.01595,141
3847809,1,mid,32.56664,151.81936,666.2,5.809,0.02581,39
10651431,1,mid,7.12745,134.91637,482.0,3.501,0.02195,153
7135676,1,mid,37.19758,154.41539,413.0,6.072,0.02032,38
4245449,1,mid,362.37188,291.58829,354.1,12.969,0.01882,4
9519499,1,mid,113.40636,174.64537,435.8,8.805,0.02088,13
7950097,1,mid,58.72841,136.60318,267.8,7.071,0.01636,23
2715251,1,mid,19.56491,149.78098,736.9,4.902,0.02715,69
6272284,1,mid,153.41858,209.20469,457.0,9.738,0.02138,10
5297117,1,mid,394.9052,382.03107,319.4,13.346,0.01787,4
5736909,1,mid,307.85473,302.81802,422.2,12.283,0.02055,5
1719974,1,mid,11.94067,124.52399,401.0,4.158,0.02003,113
6266423,1,mid,10.14797,136.21024,642.6,3.938,0.02535,104
6627290,1,mid,35.01433,145.48071,528.0,5.951,0.02298,41
4490159,1,mid,178.38392,144.70411,261.0,10.24,0.01616,8
10266195,1,mid,7.23434,133.78443,413.6,3.518,0.02034,184
8052298,1,mid,288.02267,143.07937,620.0,12.013,0.0249,4
8315206,1,mid,102.19887,169.51347,354.9,8.505,0.01884,12
4935189,1,deep,9.32044,121.82405,1976.7,3.828,0.04446,118
10877233,1,deep,104.75337,229.64718,1558.9,8.575,0.03948,9
10917136,1,deep,5.3758,132.20194,856.3,3.187,0.02926,255
9753528,1,deep,33.48167,145.87664,1862.1,5.863,0.04315,40
3543138,1,deep,11.7323,132.88352,1024.4,4.133,0.03201,116
5036291,1,deep,6.03562,135.98588,1595.4,3.312,0.03994,224
10360825,1,deep,11.03359,134.0392,1265.8,4.05,0.03558,92
7335881,1,deep,200.34132,240.14421,832.6,10.644,0.02885,7
10089175,1,deep,53.02054,134.69227,1569.3,6.834,0.03961,21
5350800,1,deep,246.07806,185.58047,1534.2,11.399,0.03917,5
11495513,0,deep,385.23939,358.3525,1143.7,13.236,0.03382,1
8299361,1,deep,10.70709,123.29737,901.6,4.009,0.03003,126
8460007,1,deep,172.90524,134.41474,1872.0,10.134,0.04327,9
2572793,1,deep,12.0162,134.51452,1339.0,4.166,0.03659,110
6026138,1,deep,11.63597,139.4997,1296.8,4.122,0.03601,85
6584971,1,deep,5.74841,133.17589,828.3,3.259,0.02878,178
4546746,1,deep,211.58108,294.2305,870.6,10.839,0.02951,7
7421448,1,deep,124.96978,132.7386,1336.5,9.095,0.03656,12
5427752,1,deep,48.47885,170.51142,996.2,6.633,0.03156,22
3533508,1,deep,21.34636,136.85424,1374.6,5.046,0.03707,63
