KIC,Period_days,Depth_ppm,Duration_hours,Epoch,SDE,kepid,label,koi_disposition,kepmag,teff,logg,radius,injected,actual,Confidence,Prediction,Rp_Rs_pred
2715251,106.4891993,561.7392356,5.5,158.731338,3.363404383,2715251,0,NONE,13.979,6151,4.26,1.215,1,1,0.6132169758225091,1,0.023701038702976712
5084184,61.66856497,164.182847,7.5,136.9815838,2.246913813,5084184,0,NONE,13.424,5988,4.402,0.99,1,1,0.6130903850715692,1,0.012813385462086123
7766199,285.8582063,572.8439133,6.0,163.7678758,5.365799283,7766199,0,NONE,13.288,5747,4.577,0.792,1,1,0.610101707030745,1,0.023934157877393558
10417251,84.70950373,212.1056893,8.0,170.9552375,1.455466811,10417251,0,NONE,13.085,6299,4.279,1.244,1,1,0.609593139234302,1,0.014563848711793184
5807846,247.0636667,430.6658253,11.0,291.0387711,4.985103787,5807846,0,NONE,13.325,6187,4.337,1.126,1,1,0.5991602844135292,1,0.020752489616911028
8520426,137.5517153,448.7016296,8.5,183.8971663,2.372700891,8520426,0,NONE,12.46,5110,4.529,0.803,1,1,0.5985066715360562,1,0.021182578445505636
8052298,84.70950373,539.0264536,9.0,170.9701697,2.398282144,8052298,0,NONE,14.291,5981,4.492,0.957,1,1,0.5976188005001369,1,0.023216943244105153
3543138,93.85786052,699.4895742,5.0,144.6376161,1.856666826,3543138,0,NONE,14.02,5955,4.52,0.91,1,1,0.5961902740151291,1,0.026447865210636568
8559152,83.08798434,398.6540807,10.0,183.9497822,1.707855957,8559152,1,CONFIRMED,13.539,5945,4.196,1.346,0,1,0.5959019458100626,1,0.019966323665111713
9836563,94.977088,103.4275687,6.5,183.8766028,2.041375466,9836563,1,CANDIDATE,12.788,6183,4.428,1.002,0,1,0.5948847910348436,1,0.010169934547478662
6289257,77.17271406,97.78313971,11.5,183.9244215,1.143742858,6289257,1,CONFIRMED,12.797,6108,4.466,1.03,0,1,0.5941314221600932,1,0.009888535771791494
10722020,93.53899473,220.7118087,8.0,183.8664604,2.826121742,10722020,0,NONE,14.014,5724,4.345,1.039,1,1,0.5939064613316317,1,0.01485637266293492
6779260,93.20006516,1257.600354,9.0,166.1432065,2.630996921,6779260,1,CONFIRMED,11.799,5397,4.543,0.831,0,1,0.5900039179798945,1,0.03546266140604791
9098185,102.8956696,185.9182377,7.5,183.8557719,2.552403308,9098185,0,NONE,14.247,6181,4.371,1.031,1,1,0.58978443820473,1,0.013635183816142706
10266195,140.3027082,659.2164956,8.5,183.897724,3.387212403,10266195,0,NONE,14.39,5794,4.578,0.785,1,1,0.5895544238089877,1,0.025675211695329797
9943009,262.0818243,635.0098735,8.0,183.8873761,5.910822671,9943009,1,CANDIDATE,12.66,5927,4.117,1.53,0,1,0.5894183550689587,1,0.02519940224489462
3851162,81.71559289,334.3801,5.0,210.616721,1.028488787,3851162,0,NONE,14.078,5921,4.326,1.157,1,1,0.5865383954000982,1,0.01828606299890712
8301878,68.59650677,412.266204,6.5,183.8559792,1.877619605,8301878,1,CANDIDATE,14.18,5631,4.478,0.901,0,1,0.5819115528395741,1,0.020304339536168125
11355925,79.73104961,207.3229049,10.0,170.8660289,1.749183892,11355925,1,CANDIDATE,14.225,5758,4.277,1.132,0,1,0.581432812391762,1,0.014398711918084894
7524239,68.59650677,509.5592312,10.0,183.9112829,1.411254988,7524239,0,NONE,14.484,6003,4.392,1.067,1,1,0.5805156324582595,1,0.022573418686587993
9521317,93.53368949,160.1853024,9.5,183.9661319,2.823791084,9521317,1,CANDIDATE,12.85,6082,4.455,1.025,0,1,0.5803389591562189,1,0.012656433241636445
5736909,87.85705415,443.7812447,7.5,208.3765125,1.910406819,5736909,0,NONE,13.937,6079,4.09,1.51,1,1,0.5801201795089352,1,0.021066116032624524
6665695,87.48907597,336.2646924,5.5,213.9192701,6.671476527,6665695,1,CONFIRMED,14.005,5207,4.595,0.725,0,1,0.5790527203329633,1,0.018337521435570294
8081187,87.86262177,234.7777961,6.0,208.3103481,2.496848873,8081187,1,CONFIRMED,13.573,6253,4.503,0.927,0,1,0.5759458190423046,1,0.015322460510636012
9088531,283.1161697,255.9073525,11.5,183.9452013,5.790048509,9088531,0,NONE,11.749,6198,4.342,1.132,1,1,0.5741277568224127,1,0.015997104503628148
7335881,84.71006756,255.2875022,7.5,170.946039,1.223768206,7335881,0,NONE,13.445,6183,4.355,1.117,1,1,0.5724039234202453,1,0.015977718929809724
2718136,81.71287256,195.4819078,10.0,210.8042137,2.760989768,2718136,0,NONE,14.352,5489,4.577,0.744,1,1,0.5693609474002379,1,0.013981484463389428
6946708,246.9450165,1049.52047,8.5,183.8978492,7.300088262,6946708,1,CANDIDATE,14.401,5642,4.6,0.747,0,1,0.5685242267583214,1,0.03239630333849836
10189884,82.17765261,198.2099129,5.5,147.6688775,3.481227278,10189884,0,NONE,14.233,6033,4.398,1.026,1,1,0.5684953201575926,1,0.014078704233699918
11666881,127.0662245,495.9295042,5.5,128.5490336,3.964388809,11666881,1,CONFIRMED,13.273,6224,4.279,1.328,0,1,0.5658583226716702,1,0.02226947471764882
6768394,68.5960502,256.1009532,10.0,183.9292335,1.471092918,6768394,1,CONFIRMED,13.959,6200,4.16,1.448,0,1,0.5618486264452822,1,0.01600315447653993
4048898,70.88425406,76.39332075,8.0,189.4977155,0.885274725,4048898,1,CANDIDATE,11.993,5973,4.506,0.935,0,1,0.561695786893904,1,0.008740327267900213
4364882,106.4515492,330.6602,9.0,159.0333735,2.609719858,4364882,0,NONE,14.147,5413,4.656,0.657,1,1,0.5613165965895411,1,0.018184064452151504
8894646,78.58120097,295.8839227,5.0,161.2828745,1.634483382,8894646,1,CANDIDATE,13.845,5839,4.337,1.082,0,1,0.5610963244052837,1,0.01720127677528619
6949061,205.7933329,953.3820178,7.5,183.8561333,10.45883692,6949061,1,CONFIRMED,14.128,6122,4.41,1.047,0,1,0.5601528469378172,1,0.030876884846111015
11017901,93.0767033,648.4347243,14.5,164.9871647,3.181594734,11017901,1,CONFIRMED,12.394,5555,4.44,0.872,0,1,0.5428414424902767,1,0.02546438148276922
10581308,92.44596948,134.4878814,11.0,199.0751203,6.163827396,10581308,1,CANDIDATE,13.766,5458,4.09,1.441,0,1,0.5407449946769048,1,0.011596891023028542
10208470,286.9552712,5381.191344,10.5,188.8766801,12.76405511,10208470,0,NONE,14.371,5185,4.422,0.938,0,0,0.5383206901003368,1,0.07335660395629012
5941160,61.66588804,179.8040289,8.5,137.0233248,1.672365156,5941160,1,CONFIRMED,13.984,6053,4.242,1.277,0,1,0.5328387462944256,1,0.013409102464370984
10360825,127.0598634,1286.98335,5.0,255.6158547,4.271687981,10360825,0,NONE,13.707,5780,4.438,1.0,1,1,0.52321367697709,1,0.035874550171395875
11361646,84.70950373,282.850616,7.0,170.9283888,2.537304363,11361646,1,CONFIRMED,13.928,5973,4.386,1.081,0,1,0.5165949413915172,1,0.016818163276648257
12055539,84.70950373,744.902134,7.5,170.9392654,1.235771091,12055539,1,CONFIRMED,14.411,6075,4.486,0.969,0,1,0.5126198409118881,1,0.02729289530262409
10578148,77.56714586,105.1887425,13.0,130.1853828,4.300988137,10578148,0,NONE,13.219,6131,4.37,1.114,1,1,0.511080896527477,1,0.010256156321936596
7205717,68.5960502,245.4676548,7.0,183.8664351,1.870184899,7205717,1,CANDIDATE,14.01,5834,4.284,1.207,0,1,0.5092410112154026,1,0.01566740740518354
7585207,82.16997127,76.83016277,9.5,147.9250878,1.963000016,7585207,0,NONE,11.593,5237,4.568,0.707,0,0,0.5049577747645236,1,0.008765281670887708
8972058,127.0662245,347.790573,9.0,128.6010386,3.392480218,8972058,1,CONFIRMED,13.431,5977,4.375,1.075,0,1,0.5015715583687627,1,0.018649144028614287
3446746,106.9112374,192.4994689,7.5,153.4662428,1.493958131,3446746,1,CONFIRMED,13.435,5696,4.417,1.001,0,1,0.4930861190151976,0,0.01387441778598295
4742888,56.44330768,200.7866896,7.0,170.9501042,1.837169657,4742888,0,NONE,13.472,6167,4.153,1.492,0,0,0.48837331146667134,0,0.01416992200401964
8081899,93.55897302,174.4245475,10.0,162.5335781,4.64505634,8081899,1,CONFIRMED,13.889,5492,4.576,0.812,0,1,0.4822138864311499,0,0.013206988585593613
6697817,232.0552077,630.9964912,8.5,258.3560378,5.523430531,6697817,1,CANDIDATE,14.322,5993,4.489,0.986,0,1,0.47901892432649723,0,0.02511964353250261
6841696,92.73727512,390.9896727,7.5,166.6274593,6.193751477,6841696,0,NONE,14.092,5941,4.519,0.911,1,1,0.47586567245022904,0,0.0197734587945559
10928043,87.86585151,231.2214055,8.0,208.3035221,3.077587737,10928043,1,CANDIDATE,13.137,6029,4.457,1.049,0,1,0.47088088999545863,0,0.015205966115311451
4546746,70.5292152,248.5903549,8.5,153.1482792,4.182284164,4546746,0,NONE,14.422,5339,4.599,0.758,1,1,0.46910061924242347,0,0.01576674839337522
9967771,72.28375728,313.0851826,8.5,152.8971918,2.750823945,9967771,1,CONFIRMED,14.498,5953,4.485,0.926,0,1,0.46642302997280544,0,0.017694213251795064
9597058,67.71468955,269.2123114,10.0,122.8303539,1.961890948,9597058,1,CONFIRMED,13.576,5408,4.624,0.696,0,1,0.46629610501455687,0,0.016407690617512263
8742834,91.9399806,242.3011103,6.5,183.8563046,3.536977135,8742834,0,NONE,13.809,5981,4.326,1.054,1,1,0.46573386987953086,0,0.015566024229070184
5192450,199.280431,2193.568198,6.5,166.0494295,10.72798491,5192450,0,NONE,13.129,5926,4.519,0.913,0,0,0.46063937274588423,0,0.04683554417320247
5991815,254.1349108,793.7819733,8.5,255.6264889,8.964450895,5991815,0,NONE,14.207,6014,4.33,1.129,0,0,0.4521859668073652,0,0.028174136602565125
7345813,123.4713121,473.6062064,7.5,183.8981465,2.10181645,7345813,0,NONE,14.057,6227,4.457,1.018,0,0,0.45215026309446227,0,0.021762495408385502
6851708,205.7933329,1075.942402,10.0,183.8934809,9.321956258,6851708,0,NONE,13.265,5513,4.611,0.734,0,0,0.447895801047765,0,0.032801560968953904
4263324,235.3338245,1555.390898,5.0,240.6641585,10.21668116,4263324,0,NONE,12.237,5184,4.503,0.81,0,0,0.4362807431517372,0,0.03943844441658418
2301527,124.5050726,475.9581012,9.5,228.0647409,3.073891857,2301527,0,NONE,14.108,5543,4.568,0.813,0,0,0.4303074155637173,0,0.021816463993965658
9395908,93.53837214,235.6113465,10.0,183.9141735,2.276945022,9395908,0,NONE,12.813,5346,4.637,0.682,0,0,0.42717636116201674,0,0.01534963668951158
5341188,94.0177008,2186.242641,5.0,161.8254911,5.879894391,5341188,0,NONE,13.717,5505,4.495,0.816,0,0,0.42424418326167546,0,0.046757273669451684
11904011,87.52265374,563.3573268,11.0,181.3724835,2.430078584,11904011,0,NONE,13.145,6295,4.366,1.056,0,0,0.422388554292166,0,0.023735149605595498
8493800,89.16167255,104.8951446,5.5,202.0494347,2.806198575,8493800,0,NONE,10.695,6241,4.196,1.49,0,0,0.42110570816191417,0,0.010241833068352559
6304294,92.74090504,332.6256179,5.0,166.5745623,2.787896888,6304294,0,NONE,13.894,5865,4.24,1.179,0,0,0.4158844473733044,0,0.018238026699728235
9329967,61.84019305,74.65378497,5.5,135.5497659,4.238672428,9329967,0,NONE,13.351,6174,4.337,1.144,0,0,0.41182067772187886,0,0.008640242182369659
11125992,108.2913835,112.1993986,8.5,151.570478,4.182408746,11125992,0,NONE,13.277,5762,4.026,1.627,0,0,0.4085576885895753,0,0.010592421753310242
