kepid,label,koi_disposition,kepmag,teff,logg,radius
10924064,0,NONE,13.705,5055,4.591,0.785
6372346,0,NONE,14.427,5525,4.478,0.82
8315206,0,NONE,14.026,5148,4.635,0.683
6697817,1,CANDIDATE,14.322,5993,4.489,0.986
6374248,0,NONE,13.868,6091,4.227,1.334
6187121,0,NONE,13.48,6299,4.251,1.21
5297117,0,NONE,13.008,5837,4.361,1.073
7766199,0,NONE,13.288,5747,4.577,0.792
5944707,0,NONE,14.317,5170,4.623,0.704
4545738,0,NONE,13.907,5534,4.548,0.839
11196226,0,NONE,12.581,6290,4.269,1.231
11953957,0,NONE,11.978,5598,4.552,0.849
3859406,0,NONE,14.075,6086,4.354,1.187
8263104,0,NONE,14.291,5750,4.431,0.906
5807846,0,NONE,13.325,6187,4.337,1.126
10190481,0,NONE,14.19,5955,4.534,0.883
8540081,0,NONE,13.574,5676,4.382,1.012
6141529,0,NONE,13.191,5571,4.39,0.94
8460007,0,NONE,14.342,4911,4.769,0.522
3440118,1,CONFIRMED,12.624,5839,4.247,1.173
11453791,0,NONE,13.687,5985,4.462,0.961
7213876,0,NONE,10.976,5780,4.438,1.0
8081899,1,CONFIRMED,13.889,5492,4.576,0.812
6381240,0,NONE,14.289,5891,4.257,1.22
11658776,0,NONE,13.872,5883,4.292,1.125
9705496,0,NONE,14.263,5003,4.534,0.827
7204360,0,NONE,14.465,6137,4.46,1.018
2445665,0,NONE,12.792,5396,4.607,0.717
10578148,0,NONE,13.219,6131,4.37,1.114
10360825,0,NONE,13.707,5780,4.438,1.0
9329967,0,NONE,13.351,6174,4.337,1.144
11125992,0,NONE,13.277,5762,4.026,1.627
4546746,0,NONE,14.422,5339,4.599,0.758
11908749,0,NONE,13.66,5632,4.616,0.721
6422390,0,NONE,12.299,5960,4.1,1.459
5938255,0,NONE,14.374,6025,4.42,1.019
11666881,1,CONFIRMED,13.273,6224,4.279,1.328
11017397,0,NONE,13.485,6067,4.322,1.12
8751783,0,NONE,13.375,5933,4.157,1.337
5809890,1,CONFIRMED,13.999,5095,4.529,0.771
11290469,0,NONE,13.859,5277,4.515,0.779
10657406,1,CONFIRMED,13.733,5346,4.403,0.952
8742834,0,NONE,13.809,5981,4.326,1.054
8360415,0,NONE,14.027,5134,4.56,0.721
10189884,0,NONE,14.233,6033,4.398,1.026
10911073,0,NONE,13.976,6297,4.448,1.031
11803247,0,NONE,14.084,5925,4.476,0.865
8972058,1,CONFIRMED,13.431,5977,4.375,1.075
3847642,0,NONE,13.532,5681,4.496,0.851
10266195,0,NONE,14.39,5794,4.578,0.785
10385248,0,NONE,13.957,5130,4.645,0.619
2715251,0,NONE,13.979,6151,4.26,1.215
6664842,1,CANDIDATE,14.43,6045,4.469,1.005
9957525,0,NONE,14.148,5771,4.562,0.825
8360304,0,NONE,13.228,5543,4.568,0.813
10057494,1,CONFIRMED,12.278,6245,4.301,1.24
10058491,0,NONE,13.136,6103,4.496,0.949
9222857,0,NONE,13.775,5183,4.584,0.788
8826303,0,NONE,13.869,6295,4.401,1.08
11017901,1,CONFIRMED,12.394,5555,4.44,0.872
5396984,0,NONE,14.238,5708,4.389,0.962
10322913,0,NONE,14.332,5700,4.325,1.04
10928043,1,CANDIDATE,13.137,6029,4.457,1.049
2301527,0,NONE,14.108,5543,4.568,0.813
12457730,0,NONE,14.227,6180,4.453,1.006
9052348,0,NONE,14.347,5010,4.545,0.75
7708458,0,NONE,12.943,5891,4.424,0.976
8315266,0,NONE,13.829,6031,4.085,1.43
8165946,1,CONFIRMED,13.862,6201,4.472,0.989
11766750,0,NONE,14.211,5432,4.42,0.913
2991562,0,NONE,12.273,5843,4.121,1.449
10722020,0,NONE,14.014,5724,4.345,1.039
9521317,1,CANDIDATE,12.85,6082,4.455,1.025
8493800,0,NONE,10.695,6241,4.196,1.49
11713414,0,NONE,12.002,5981,4.296,1.15
6304294,0,NONE,13.894,5865,4.24,1.179
4935189,0,NONE,11.203,6256,4.172,1.529
2718136,0,NONE,14.352,5489,4.577,0.744
7950097,0,NONE,13.79,6243,4.401,1.07
8837813,0,NONE,13.987,5670,4.263,1.117
9967771,1,CONFIRMED,14.498,5953,4.485,0.926
6268648,1,CONFIRMED,11.049,6044,4.192,1.327
2853446,1,CANDIDATE,13.835,5973,4.371,1.07
6431254,0,NONE,13.19,6070,4.187,1.25
9146018,1,CONFIRMED,14.129,5543,4.568,0.813
6272284,0,NONE,14.274,5979,4.329,1.093
4068696,0,NONE,13.514,5868,4.53,0.894
4831185,0,NONE,10.251,5906,4.173,1.275
8609667,0,NONE,14.221,6013,4.45,0.953
10556590,0,NONE,13.684,5880,4.274,1.193
6779260,1,CONFIRMED,11.799,5397,4.543,0.831
4364882,0,NONE,14.147,5413,4.656,0.657
9225385,0,NONE,14.445,5457,4.584,0.778
3953177,0,NONE,14.434,5973,4.562,0.826
8265428,0,NONE,12.761,6297,4.341,1.12
5033073,0,NONE,13.681,6106,4.46,1.005
8041825,0,NONE,14.147,5981,4.452,1.022
12053194,0,NONE,13.204,5903,4.546,0.864
9098185,0,NONE,14.247,6181,4.371,1.031
11125797,1,CONFIRMED,13.747,5356,4.617,0.685
11361646,1,CONFIRMED,13.928,5973,4.386,1.081
8081187,1,CONFIRMED,13.573,6253,4.503,0.927
5364578,0,NONE,14.331,6119,4.497,0.938
11904011,0,NONE,13.145,6295,4.366,1.056
2716664,0,NONE,13.891,6284,4.194,1.448
9076990,0,NONE,14.296,5571,4.549,0.779
8052298,0,NONE,14.291,5981,4.492,0.957
8520426,0,NONE,12.46,5110,4.529,0.803
8171971,0,NONE,13.593,5865,4.518,0.918
10002867,0,NONE,14.28,6160,4.378,1.048
9395908,0,NONE,12.813,5346,4.637,0.682
5084184,0,NONE,13.424,5988,4.402,0.99
9764678,0,NONE,14.162,5115,4.47,0.866
9413532,0,NONE,12.615,5559,4.496,0.79
7345813,0,NONE,14.057,6227,4.457,1.018
12109421,0,NONE,13.454,6060,4.495,0.953
9836563,1,CANDIDATE,12.788,6183,4.428,1.002
4939472,0,NONE,14.477,5278,4.593,0.775
8494617,1,CONFIRMED,13.578,5897,4.357,1.081
7597226,0,NONE,14.443,5701,4.571,0.796
7585207,0,NONE,11.593,5237,4.568,0.707
9597058,1,CONFIRMED,13.576,5408,4.624,0.696
6853029,0,NONE,13.562,6258,4.449,1.031
5736909,0,NONE,13.937,6079,4.09,1.51
8523328,0,NONE,13.588,5609,4.379,1.01
8301878,1,CANDIDATE,14.18,5631,4.478,0.901
9519499,0,NONE,12.756,6099,4.125,1.486
7205717,1,CANDIDATE,14.01,5834,4.284,1.207
4543158,0,NONE,12.213,6008,4.266,1.17
3543138,0,NONE,14.02,5955,4.52,0.91
4742888,0,NONE,13.472,6167,4.153,1.492
7352971,0,NONE,14.235,6099,4.444,0.954
7116234,0,NONE,14.388,5679,4.584,0.778
9703633,0,NONE,14.491,6194,4.457,1.02
9003423,0,NONE,14.463,6215,4.413,1.03
6949198,0,NONE,13.974,5959,4.549,0.856
11355925,1,CANDIDATE,14.225,5758,4.277,1.132
6208985,0,NONE,14.266,5098,4.509,0.803
8559152,1,CONFIRMED,13.539,5945,4.196,1.346
7610110,0,NONE,14.104,5585,4.338,1.05
9417931,1,CANDIDATE,13.574,6098,4.321,1.131
5941160,1,CONFIRMED,13.984,6053,4.242,1.277
11495513,0,NONE,12.861,6192,4.232,1.2
8894646,1,CANDIDATE,13.845,5839,4.337,1.082
12215240,0,NONE,14.158,5102,4.553,0.733
5095635,1,CANDIDATE,14.482,5883,4.53,0.892
5698009,0,NONE,14.429,5895,4.329,1.146
6107308,0,NONE,13.424,6100,4.17,1.421
10745115,0,NONE,12.36,6160,4.341,1.103
8648352,0,NONE,13.93,5684,4.027,1.604
3446746,1,CONFIRMED,13.435,5696,4.417,1.001
8888956,0,NONE,13.29,6038,4.089,1.652
7763491,0,NONE,13.169,6068,4.327,1.071
6768394,1,CONFIRMED,13.959,6200,4.16,1.448
10417251,0,NONE,13.085,6299,4.279,1.244
1719974,0,NONE,12.05,6129,4.468,0.801
8115701,0,NONE,14.329,6106,4.408,1.11
3735720,0,NONE,13.334,4858,4.564,0.726
7524239,0,NONE,14.484,6003,4.392,1.067
3854725,0,NONE,14.309,6289,4.407,1.118
12067363,0,NONE,14.459,6103,4.496,0.949
12055539,1,CONFIRMED,14.411,6075,4.486,0.969
7335881,0,NONE,13.445,6183,4.355,1.117
6289257,1,CONFIRMED,12.797,6108,4.466,1.03
6305665,0,NONE,13.747,6029,4.131,1.411
7421448,0,NONE,13.858,5724,4.209,1.237
3851162,0,NONE,14.078,5921,4.326,1.157
2574376,0,NONE,12.956,5600,4.55,0.723
4048898,1,CANDIDATE,11.993,5973,4.506,0.935
11359056,0,NONE,12.351,6137,4.2,1.307
7044893,0,NONE,14.226,5945,4.562,0.797
6047482,0,NONE,13.905,5750,4.538,0.882
11760235,0,NONE,14.206,5911,4.519,0.914
6188427,0,NONE,13.862,5885,4.058,1.566
